text,vader_sentiment,vader_sentiment_label,
Last session of the day  http://twitpic.com/67ezh,0,Neutral,
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,0.7501,Positive,
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",-0.7345,Negative,
 happy bday!,0.6114,Positive,
 http://twitpic.com/4w75p - I like it!!,0.4738,Positive,
 that`s great!! weee!! visitors!,0.7405,Positive,
I THINK EVERYONE HATES ME ON HERE   lol,-0.2103,Negative,
" soooooo wish i could, but im in school and myspace is completely blocked",-0.3048,Negative,
 and within a short time of the last clue all of them,0,Neutral,
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,0,Neutral,
My bike was put on hold...should have known that.... argh total bummer,-0.3818,Negative,
 I checked.  We didn`t win,0.5859,Positive,
 .. and you`re on twitter! Did the tavern bore you that much?,-0.3164,Negative,
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",-0.4228,Negative,
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,0.0516,Positive,
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",-0.6908,Negative,
 Miss you,-0.1531,Negative,
Cramps . . .,0,Neutral,
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,0.5719,Positive,
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",-0.3369,Negative,
Stupid storm. No river for us tonight,-0.6808,Negative,
My dead grandpa pays more attention to me than you do,-0.6486,Negative,
"... need retail therapy, bad. AHHH.....gimme money geebus",-0.5423,Negative,
about to go to sleep,0,Neutral,
 you are lame  go make me breakfast!!,-0.5242,Negative,
 thats so cool,0.3804,Positive,
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",0.2728,Positive,
"Huh, another ScarePoint coding Sunday",0,Neutral,
 look who I found just for you  --->  http://twitter.com/DJT2009,0,Neutral,
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",0.0258,Positive,
 guess that depends on if you want to be on the jury,0.0772,Positive,
resorted to eating Mickey Ds ALONE.,-0.4084,Negative,
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",0.296,Positive,
 did he ask for your Twitter ID? Your sun sign?,0,Neutral,
 where`d you go!,0,Neutral,
Watching Body of Lies...good film,0,Neutral,
Happy mothers day mumm  xoxo,0.8271,Positive,
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,0.0772,Positive,
 I`m sorry  at least it`s Friday?,-0.0772,Negative,
"feels sorry every time I`m printing out, I use like 200 new papers",0.296,Positive,
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,0,Neutral,
 I always forget SOMETHING when I travel. I am at Newark airport.,-0.2263,Negative,
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,0.5972,Positive,
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,0,Neutral,
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",0.68,Positive,
  Hope ur havin fun in da club,0.7351,Positive,
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,0.5332,Positive,
thinks SG is wonderful,0.5719,Positive,
  im really sorry i know wallah how u feel this life is shittttttttt,-0.1513,Negative,
Not happy,-0.4585,Negative,
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,0.4374,Positive,
 I`ll oscillate from one to the other.,0,Neutral,
I`m so very tired...and have insomnia.,0,Neutral,
 Thanks Ennio,0.4404,Positive,
 you should totally come get me and bring me to kelslaws house with you.,0,Neutral,
" You seem nice, you`re generous and you know your stuff",0.7269,Positive,
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,0.4404,Positive,
almost got a kitty yesterday...but it didn`t work out,0,Neutral,
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",0.4019,Positive,
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,0.8513,Positive,
 i still dont know what we would do though,0,Neutral,
"_xo   dang it, so its not certain ? ? ? are you okay?",-0.2818,Negative,
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,-0.296,Negative,
"Dear rain, you suck. Now I gotta change my plans for tonight",-0.0772,Negative,
at starbucks with my love. eff school. i have work later too.,0.6369,Positive,
I just cried whilst watching hollyoaks  .. i need a life! lol,0.126,Positive,
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",0.8225,Positive,
Terminator Salvation... by myself.,0,Neutral,
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",0,Neutral,
 Why do I have to enter my registration details every time I update?,0,Neutral,
"On the monday, so i wont be able to be with you!  i love you",0.6696,Positive,
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",0.8722,Positive,
 TGIF is right...I think I broke my toe last night - on my bad foot.,-0.3109,Negative,
" Oherr it`s soon then, do you have plans? I had a party on saturday  x",0.4019,Positive,
_LaMont yr very young looking dude,0,Neutral,
": hmmm, wrong link, ignore my tweet",-0.6808,Negative,
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,-0.6996,Negative,
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,0,Neutral,
" yep, i wish they were all playing dubiln",0.6908,Positive,
 im a lady and ladies don`t move couches. they direct where the couches go,0,Neutral,
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,0.8456,Positive,
 26th February,0,Neutral,
Guess what? mom adopted a kitty today (11 months) His name is Corky,0,Neutral,
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,0.918,Positive,
 Thank you!  I`m working on `s,0.4199,Positive,
 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,0.4215,Positive,
Not feeling all that well today,0.1852,Positive,
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",-0.4767,Negative,
_berland LMAO I know I know,0.6841,Positive,
Gnight shar   <(` `<)Vega(>` `)>,0,Neutral,
The underwire in my bra is sticking out and poking me in the armpit,0,Neutral,
Happy Mothers Day!!!,0.6784,Positive,
"Yes, I am",0.4019,Positive,
 I can`t call Mitch!  Im from sweden!,0,Neutral,
Happy star wars day! May the fourth be with you,0.1007,Positive,
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,-0.438,Negative,
i just watched Marley & Me...i cried so hard!,-0.5801,Negative,
Take antibacterial to school to clean your hands when you cant go the loos,0.4019,Positive,
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,0,Neutral,
 haaaw..well i get out of class at 10:50..i hope i make it,0.4404,Positive,
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",0.7772,Positive,
skype call with billie but my webcam dont work,0,Neutral,
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",0.8439,Positive,
FML not having a car is prohibiting finding a job,0,Neutral,
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",0.6486,Positive,
 I want to see David cook!!,0.2225,Positive,
 yeh me 2,0,Neutral,
 learning tat the scenic way  din plan to go town but somehow was herded there?,0,Neutral,
" i don`t want to do anything specific, i just want to see you and puppy!",0.2244,Positive,
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,0.2263,Positive,
Toy Story 3 trailer premiered with Up. I need my computer back.,0,Neutral,
ughh on the phone with HP!,0,Neutral,
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',0.4939,Positive,
